Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
181 XVIII,Estacionar em local/horário proibido especificamente pela sinalização,1647,2054422,97.56341031376292
163 c/c 162 I,Entregar veículo a pessoa sem CNH/PPD/ACC,1450,2055872,97.63227004411772
181 XVII,Estacionar em desacordo com a regulamentação especificada pela sinalização,1354,2057226,97.69657078542832
184 III,Transitar na faixa ou via exclusiva regulam. p/ transp. públ. coletivo passageiro,1348,2058574,97.76058658992368
203 IV,Ultrapassar pela contramão veíc parado em fila junto qq impedimento à circulação,1338,2059912,97.82412749972693
230 II,Conduzir o veículo transportando passageiros em compartimento de carga,1306,2061218,97.88614874651546
181 VIII,Estacionar no passeio,1287,2062505,97.947267693389
193,Transitar com o veículo em canteiros centrais/divisores de pista de rolamento,1193,2063698,98.00392263015677
252 V,"Dirigir o veículo com apenas uma das mãos, exceto quando permitido pelo CTB",1138,2064836,98.05796564611798
164 c/c 162 III,Permitir posse/condução veíc a pessoa com CNH categoria diferente da do veículo,1091,2065927,98.1097766570263
209,Transpor bloqueio viário com ou sem sinalização ou dispositivos auxiliares,1090,2067017,98.16154017846543
188,"Transitar ao lado de outro veículo, interrompendo ou perturbando o trânsito",1053,2068070,98.21154658954376
250 I a,"Em movimento, deixar de manter acesa a luz baixa durante à noite",1036,2069106,98.26074567964554
203 III,Ultrapassar pela contramão nas pontes,994,2070100,98.30795021204048
231 X,Transitar com o veículo excedendo a CMT acima de 1.000 kg,986,2071086,98.35477482868174
165-B,"Cond veíc exig hab C, D ou E sem realizar ex toxic prev no § 2º do art 148-A, após 30 dias do venc",865,2071951,98.39585321954857
250 I d,"Em movimento de dia, deixar de manter acesa luz baixa de motocicletas/motonetas/ciclomotores",836,2072787,98.4355544158083
181 XIII,Estacionar no ponto de embarque/desembarque de passageiros transporte coletivo,829,2073616,98.47492318578355
244 V,Conduzir motocicleta/motoneta/ciclomotor transportando criança menor de 10 anos de idade,817,2074433,98.51372208212828
230 I,Conduzir o veículo com o lacre de identificação violado/falsificado,803,2075236,98.55185612590408
231 II a,Transitar com veículo derramando a carga que esteja transportando,783,2076019,98.58904038029567
181 VIII,Estacionar ao lado ou sobre gramado ou jardim público,766,2076785,98.62541731371068
252 I,Dirigir o veículo com o braço do lado de fora,750,2077535,98.66103441561833
230 XV,Conduzir c/ inscr/adesivo/legenda/símbolo afixado pára-brisa e extensão traseira,722,2078257,98.6953218123881
163 c/c 162 V,Entregar veículo a pessoa com CNH/PPD vencida há mais de 30 dias,678,2078935,98.72751967251261
210,Transpor bloqueio viário policial,663,2079598,98.75900519059898
231 VI,"Transitar com autorização vencida, expedida p/ veículo c/ dimensões excedentes",645,2080243,98.78963589823957
231 VIII,Transitar efetuando transporte remunerado de pessoas qdo nao licenciado p/esse fim,606,2080849,98.81841451658094
164 c/c 162 II,Permitir posse/condução veíc pessoa com CNH/PPD/ACC c/ susp. direito de dirigir,605,2081454,98.84714564545311
244 XI,Conduzir motoc/ moton/ ciclom transp pass c/ capacete de segurança s/ viseira/óculos de proteção,563,2082017,98.87388221661847
164 c/c 162 VII,Permitir posse e condução do veículo por pessoa sem possuir curso especializados obrigatorio,546,2082563,98.89981146680724
181 V,Estacionar na pista de rolamento das estradas,530,2083093,98.92498088548865
244 VII,Conduzir motocicleta/motoneta/ciclomotor sem segurar o guidom com ambas as mãos,528,2083621,98.95005532523163
248,Transportar em veíc destinado transp passageiros carga excedente desac art.109,520,2084141,98.97474984922093
181 VIII,Estacionar ao lado ou sobre marcas de canalização,517,2084658,98.9993019048026
214 I,Deixar de dar preferência a pedestre/veic ñ motorizado na faixa a ele destinada,502,2085160,99.02314161834613
164 c/c 162 VI,Permitir posse/condução do veículo a pessoa sem usar lentes corretoras de visão,494,2085654,99.04660141613597
175,Utiliz veíc demonst/exibir manobra perigosa mediante arrancada brusca,491,2086145,99.06991874551818
231 VIII,Transitar efetuando transporte remunerado de bens qdo nao licenciado p/ esse fim,482,2086627,99.0928086696775
172,Atirar do veículo objetos ou substâncias,457,2087084,99.11451135710657
193,"Transitar com o veículo em calçadas, passeios",438,2087522,99.13531174462064
162 II,Dirigir veículo com CNH/PPD/ACC cassada,433,2087955,99.15587468478864
180,Ter seu veículo imobilizado na via por falta de combustível,404,2088359,99.17506043034957
235,Conduzir pessoas nas partes externas do veículo,379,2088738,99.19305893918023
193,Transitar com o veículo em passarelas,367,2089105,99.21048757438038
252 VI,Dirigir o veículo utilizando-se de fones nos ouvidos conec a aparelhagem sonora,359,2089464,99.22753629382684
162 VII,Dirigir veículo sem possuir cursos específicos obrigatórios,343,2089807,99.24382518176594
230 III,Conduzir o veículo com dispositivo anti-radar,342,2090149,99.26006658023583
225 I,Deixar de sinalizar via p/ tornar visível local qdo tiver remover veíc da pista,335,2090484,99.27597555242124
170,Dirigir ameaçando os demais veículos,314,2090798,99.29088724575325
250 III,"Em movimento, deixar de manter a placa traseira iluminada à noite",311,2091109,99.30565647067763
223,Transitar com o facho de luz alta perturbando visão outro condutor,307,2091416,99.32023573772516
194,"Transitar em marcha ré, salvo na distância necessária a pequenas manobras",306,2091722,99.33476751530348
238,Recusar-se a entregar CNH/CRV/CRLV/ outros documentos,304,2092330,99.3636411125833
230 VII,Conduzir o veículo com a cor alterada,304,2092330,99.3636411125833
181 VIII,Estacionar ao lado ou sobre canteiro central/divisores de pista de rolamento,303,2092633,99.37803042175398
230 * V,Conduzir o veículo que não esteja registrado,302,2092935,99.39237224145546
225 I,Deixar de sinalizar a via p/ tornar visível o local qdo permanecer acostamento,301,2093537,99.42096090192
206 V,Executar retorno c/prejuízo da circulação/segurança ainda que em local permitido,301,2093537,99.42096090192
215 I a,"Deixar de dar preferência em interseção ñ sinaliz, a veíc circulando por rodovia",293,2093830,99.43487531639859
