Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
187 I,Transitar em local/horário não permitido pela regulamentação -rodízio,29,4134543,99.97630287632302
"181, XX",Estacionar nas vagas reserv as pess c/ deficiencia s/ credencial,29,4134543,99.97630287632302
244 VIII c/c § 1º,Conduzir ciclo transportando carga incompatível,28,4134599,99.977656997676
234,Falsificar ou adulterar documento de identificação do veículo,28,4134599,99.977656997676
182-V,Parar na pista de rolamento das vias de trânsito rápido,27,4134653,99.97896275755207
203 II,Ultrapassar pela contramão nas faixas de pedestre,27,4134653,99.97896275755207
214 IV,Deixar de dar preferência a pedestre/veic ñ mot qdo iniciada travessia s/sinaliz,26,4134705,99.98022015595124
220 XIV,Deixar de reduzir a velocidade nas proximidades de escolas,26,4134705,99.98022015595124
231 I,"Transitar com o veículo danificando a via, suas instalações e equipamentos",25,4134730,99.9808246744124
244 VII c/c § 1º,Conduzir ciclo sem segurar o guidom com ambas as mãos,24,4134778,99.98198534985781
227 V,Usar buzina em desacordo c/ os padrões e frequências estabelecidas pelo Contran,24,4134778,99.98198534985781
181 XII,Estacionar na área de cruzamento de vias,23,4134870,99.98420997779482
181 XVII,Estacionar em desacordo com a regulamentação - vaga de carga/descarga,23,4134870,99.98420997779482
234,Falsificar ou adulterar documento de habilitação,23,4134870,99.98420997779482
"181, XX",Estacionar nas vagas reserv a idosos s/ credencial,23,4134870,99.98420997779482
230 I,Conduzir o veículo com o selo violado/falsificado,22,4134936,99.98580590653225
171,Usar veículo para arremessar sobre os veículos água ou detritos,22,4134936,99.98580590653225
171,Usar veículo para arremessar sobre os pedestres água ou detritos,22,4134936,99.98580590653225
181 XVII,Estacionar em desacordo com a regulamentação - estacionamento rotativo,21,4135062,99.98885267957644
212,Deixar de parar o veículo antes de transpor linha férrea,21,4135062,99.98885267957644
225 II,Deixar de sinalizar a via p/ tornar visível o local qdo a carga for derramada,21,4135062,99.98885267957644
249,Deixar de manter acesas à noite as luzes posição qdo o veículo estiver parado,21,4135062,99.98885267957644
182 VI,Parar nas ilhas ou refúgios,21,4135062,99.98885267957644
214 II,Deixar de dar preferência a pedestre/veic ñ mot que ñ haja concluído a travessia,21,4135062,99.98885267957644
220 X,Deixar de reduzir veloc qdo pavimento se apresentar escorreg/defeituoso/avariado,20,4135082,99.98933629434535
163 c/c 162 III,Entregar veículo a pessoa com PPD de categoria diferente da do veículo,17,4135099,99.98974736689894
174,Promover na via eventos organizados sem permissão,16,4135131,99.9905211505292
227 III,Usar buzina entre as vinte e duas e as seis horas,16,4135131,99.9905211505292
182 IV,Parar em desacordo com as posições estabelecidas no CTB,15,4135146,99.9908838616059
220 IX,Deixar de reduzir a velocidade quando houver má visibilidade,14,4135202,99.99223798295887
203 IV,Ultrapassar pela contramão veículo parado em fila junto a cancela/porteira,14,4135202,99.99223798295887
164 c/c 162 VII,Permitir posse e condução do veículo por pessoa sem possuir curso especificos obrigatorios,14,4135202,99.99223798295887
250 I c,"Em mov de dia, deixar de manter acesa luz baixa veíc transp coletivo faixas/pistas destinadas",14,4135202,99.99223798295887
176 IV,"Deixar o cond envolvido em acid, de remover o veíc local qdo determ polic/agente",13,4135267,99.99380973095785
252 II,Dirigir o veículo transport pessoas à sua esquerda ou entre os braços e pernas,13,4135267,99.99380973095785
164 c/c 162 VI,Permitir posse/condução do veículo a pessoa s/ usar aparelho auxiliar de audição,13,4135267,99.99380973095785
182 XI,Parar o veículo sobre ciclovia ou ciclofaixa,13,4135267,99.99380973095785
181 XVII,Estacionar em desacordo com a regulamentação - vaga de curta duração,13,4135267,99.99380973095785
163 c/c 162 VII,Entregar veiculo a pessoa sem possuir curso especializados obrigatorios,12,4135303,99.9946802375419
163 c/c 162 VI,Entregar veíc pessoa s/ adaptações impostas concessão/renovação licença conduzir,12,4135303,99.9946802375419
200,Ultrap pela direita veíc transp colet/escolar parado para emb/desemb passageiros,12,4135303,99.9946802375419
162 VI,Dirigir veículo sem usar aparelho auxiliar de prótese física,11,4135314,99.9949462256648
230 XIX,Conduzir o veículo sem acionar o limpador de pára-brisa sob chuva,10,4135334,99.99542984043373
244 § 1 a,Conduzir ciclo transportando passageiro fora da garupa/assento a ele destinado,10,4135334,99.99542984043373
220 XIV,Deixar de reduzir a velocidade nas proximidades de hospitais,9,4135370,99.99630034701778
182 VIII,Parar nas pontes,9,4135370,99.99630034701778
181 XVII,Estacionar em desacordo com a regulamentação - ponto ou vaga de táxi,9,4135370,99.99630034701778
215 I b,"Deixar de dar prefer em interseção não sinalizada, a veículo que vier da direita",9,4135370,99.99630034701778
214 V,Deixar de dar preferência a pedestre/veic não mot atravessando a via transversal,8,4135394,99.99688068474047
181 II,Estacionar afastado da guia da calçada (meio-fio) de 50cm a 1m,8,4135394,99.99688068474047
181 XVI,"Estacionar aclive/declive ñ freado e sem calço segurança, PBT superior a 3500kg",8,4135394,99.99688068474047
182 VIII,Parar nos viadutos,7,4135422,99.99755774541697
220 XI,Deixar de reduzir a velocidade à aproximação de animais na pista,7,4135422,99.99755774541697
182 III,Parar afastado da guia da calçada (meio-fio) a mais de 1m,7,4135422,99.99755774541697
182 I,Parar nas esquinas e a menos 5m do bordo do alinhamento da via transversal,7,4135422,99.99755774541697
222,Deixar de manter ligado em emerg sist ilum vermelha intermitente ainda q parado,6,4135440,99.997992998709
244 § 1 c,Conduzir ciclo transportando criança s/ condição de cuidar própria segurança,6,4135440,99.997992998709
211,"Ultrapassar veículos motorizados em fila, parados em razão de cancela",6,4135440,99.997992998709
202 II,Ultrapassar em passagem de nível,5,4135460,99.9984766134779
226,Deixar de retirar qualquer objeto utilizado para sinalização temporária da via,5,4135460,99.9984766134779
230 XVIII,Conduzir o veículo reprovado na avaliação de emissão de poluentes e ruído,5,4135460,99.9984766134779
250 IV,"Em movimento, deixar veículo de transporte púb. coletivo passageiros de manter a porta fechada",5,4135460,99.9984766134779
249,Deixar de manter acesas à noite as luzes de posição veic fazendo carga/descarga,4,4135476,99.99886350529304
244 III c/c § 1º,Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda,4,4135476,99.99886350529304
213 II,Deixar de parar sempre que a marcha for interceptada por agrupamento de veículos,4,4135476,99.99886350529304
217,Entrar/sair de fila de veículos estacionados sem dar pref a pedestres/veículos,4,4135476,99.99886350529304
231 IX,Transitar com o veículo desligado em declive,3,4135503,99.99951638523108
177,"Deixar o cond de prestar socorro vítima acid de trânsito, qdo solicit p/ agente",3,4135503,99.99951638523108
206 III,Executar operação de retorno passando por cima de faixa de veíc não motorizados,3,4135503,99.99951638523108
231 IX,Transitar com o veículo desengrenado em declive,3,4135503,99.99951638523108
183,Parar sobre faixa de pedestres na mudança de sinal luminoso (fisc eletrônica),3,4135503,99.99951638523108
230 XVIII,Conduzir o veículo reprovado na avaliação de inspeção de segurança,3,4135503,99.99951638523108
179 II,Fazer/deixar que se faça reparo em veíc nas vias (q não rodovia/transito rapido),3,4135503,99.99951638523108
181 XIV,Estacionar nos túneis,3,4135503,99.99951638523108
182 II,Parar afastado da guia da calçada (meio-fio) de 50cm a 1m,3,4135503,99.99951638523108
174,Promover na via competição sem permissão,2,4135515,99.99980655409243
164 c/c 162 VI,Permitir posse/condução do veículo a pessoa sem usar aparelho de prótese física,2,4135515,99.99980655409243
163 c/c 162 VI,Entregar o veículo a pessoa sem usar aparelho auxiliar de audição,2,4135515,99.99980655409243
206 II,Executar operação de retorno nos túneis,2,4135515,99.99980655409243
203 III,Ultrapassar pela contramão nos túneis,2,4135515,99.99980655409243
230 XVII,Conduzir o veículo com cortinas ou persianas fechadas,2,4135515,99.99980655409243
163 c/c 162 VII,Entregar veiculo a pessoa sem possuir curso especificos obrigatorios,1,4135523,100.0
247,Deixar de conduzir pelo bordo da pista em fila única veículo de tração animal,1,4135523,100.0
250 IV,"Em movimento, deixar o veículo de escolares de manter a porta fechada",1,4135523,100.0
252 VII,Dirigir veículo realizando cobrança de tarifa com veículo em movimento.,1,4135523,100.0
NA,2016-11-01,1,4135523,100.0
213 I,Deixar de parar sempre que a marcha for interceptada por agrupamento de pessoas,1,4135523,100.0
214 III,Deixar de dar preferência a pedestre port deficiência fís/criança/idoso/gestante,1,4135523,100.0
163 c/c 162 VI,Entregar o veículo a pessoa sem aparelho de prótese física,1,4135523,100.0
