City,Violations_Count,Violations_Count(%),Acum
CURITIBA,5465,0.1321477356068386,0.6588525804354125
PARAIBA DO SUL,5437,0.13147067493035342,0.6601672871847161
ITAGUAI,5412,0.13086615646920594,0.6614759487494081
BLUMENAU,5398,0.13052762613096336,0.6627812250107177
SEROPEDICA,5386,0.13023745726961258,0.6640835995834138
POCONE,5376,0.12999564988515358,0.6653835560822653
ITABUNA,5372,0.12989892693136998,0.666682545351579
ITATIAIA,5327,0.12881079370130452,0.6679706532885921
ALTO GARCAS,5309,0.12837554040927834,0.6692544086926848
CABEDELO,5247,0.12687633462563258,0.6705231720389412
BARRA VELHA,5229,0.12644108133360643,0.6717875828522772
IGARASSU,5129,0.1240230074890165,0.6730278129271674
ARACATI,5111,0.12358775419699032,0.6742636904691373
RIO LARGO,5097,0.12324922385874774,0.6754961827077247
PARNAMIRIM,5090,0.12307995868962643,0.676726982294621
SARANDI,5037,0.12179837955199378,0.677944966090141
CONGONHAS,5035,0.121750018075102,0.679162466270892
RESENDE,5023,0.1214598492137512,0.6803770647630296
MILAGRES,5005,0.12102459592172501,0.6815873107222469
ITAPEMA,4960,0.11993646269165956,0.6827866753491635
PIRIPIRI,4952,0.11974301678409237,0.6839841055170044
ITUMBIARA,4942,0.11950120939963338,0.6851791176110007
SAO MIGUEL DO IGUACU,4907,0.11865488355402691,0.686365666446541
JACAREI,4882,0.11805036509287942,0.6875461700974698
GUAIRA,4863,0.11759093106240735,0.6887220794080938
ITABAIANA,4849,0.11725240072416475,0.6898946034153355
TUBARAO,4849,0.11725240072416475,0.6910671274225771
BOA ESPERANCA,4826,0.11669624373990908,0.6922340898599763
CHAPECO,4821,0.11657534004767958,0.693399843260453
BARRA MANSA,4794,0.1159224601096403,0.6945590678615494
JARAGUARI,4714,0.11398800103396838,0.6956989478718891
MEDIANEIRA,4589,0.11096540872823099,0.6968086019591715
RIO BONITO,4571,0.1105301554362048,0.6979139035135336
PORTO ALEGRE,4570,0.1105059746977589,0.6990189632605112
SOBRADO,4546,0.10992563697505733,0.7001182196302618
ARARIPINA,4537,0.10970801032904424,0.7012152997335522
ESTANCIA,4520,0.10929693777546395,0.7023082691113068
JANGADA,4520,0.10929693777546395,0.7034012384890614
POUSO ALEGRE,4514,0.10915185334478855,0.7044927570225094
SILVEIRAS,4495,0.10869241931431646,0.7055796812156525
PAULO AFONSO,4494,0.10866823857587056,0.7066663636014112
SAO JOAO DE MERITI,4492,0.10861987709897877,0.707752562372401
MAGE,4488,0.10852315414519517,0.7088377939138529
PATOS DE MINAS,4453,0.1076768282995887,0.7099145621968488
SETE LAGOAS,4445,0.10748338239202151,0.710989396020769
CARAZINHO,4444,0.10745920165357561,0.7120639880373048
GUARATINGUETA,4436,0.10726575574600843,0.7131366455947649
APARECIDA,4418,0.10683050245398225,0.7142049506193047
ERECHIM,4392,0.10620180325438887,0.7152669686518486
